RefVille;Ville
30101;MUTSAMUDU VILLE
30102;MIRONTSY
30103;MJIMANDRA
30104;POUZINI
30105;PAGE
30201;ANKIBANI
30202;CHIROKAMBA
30203;BANDRAJOU
30204;MAWENI
30205;BANDRANI YA MTSANGANI
30206;CHITROUNI
30207;SAANDANI
30208;MJAMAWE
30301;OUANI VILLE
30302;NYATRANGA
30303;BARAKANI
30304;BAZIMINI
30305;PATSY
30306;KOKI
30401;CHANDRA
30402;TSEMBEHOU
30403;DINDRI
30501;DOMONI VILLE
30502;LIMBI
30503;NGANGZALE
30504;UTSA
30505;UZINI
30506;BWE LA DOUNGOU
30507;SALAMANI UZINI
30601;KONI NGANI
30602;KONI DJODJO
30603;GEGE
30604;HACHIPENDA
30701;BAMBAO MTSANGA
30702;MROMAJI
30703;MARAHANI
30704;MAHALE
30705;ONGONI
30706;HAREMBO 1
30707;HAREMBO 2
30708;HAJOHO
30709;JIMLIME
30710;TESTE
30801;MREMANI VILLE
30802;BANDRACOUNI
30803;MRIJOU
30804;DAJI
30805;KANGANI
30806;HADDA DAWENI
30807;JANDZA
30808;MAGNASSINI
30901;MRAMANI VILLE
30902;HANTSAHI
30903;NOUGA
30904;NYAMBOI MRO
30905;HAMSHAKO
30906;SADAMPONI
30907;CHAOUENI
30908;MNADZI CHOUMWE
30909;DZIANI
31001;ONGOJOU VILLE
31002;KIYO
31003;KOMONI
31004;MIRONDRONI
31005;TRINDRINI
31101;SIMA VILLE
31102;BOUNGWENI
31103;KAVANI
31104;MILEMBENI
31105;MIRONGANI
31106;BIMBINI
31107;IMERE
31108;MRO MHOULI
31109;MITRENI
31110;MARAHARE
31111;HASSIMPAO
31112;CHITSANGACHELE
31113;HADONGO
31114;VASSI
31115;DZINDRI
31116;SALAMANI
31117;DZINDRI YA MTSANGANI
31118;VOUANI
31119;MARONTRONI
31120;IMERE2
31201;MOYA VILLE
31202;POMONI
31203;LINGONI
31204;NINDRI
31205;KOWE
31207;BANDRANI YA  VOUANI
31208;SALAMANI DZINDRI
31210;IMERE
31211;CHIROVE
31212;DARISALAMA
31213;SALAMANI 2
