Police;Montant
;553240
1000106103;7000
1000106104;7000
1000106105;7000
1000106110;7000
1000110001;2880
1000110002;10554
1000110003;2730
1000110004;15826
1000110005;2350
1000110006;36888
1000110007;515
1000110008;53340
1000110009;19498
1000110010;77634
1000110011;1513
1000110012;2124
1000110013;18143
1000110014;30528
1000110015;5127
1000110016;2119
1000110017;8394
1000110018;5807
1000110019;5556
1000110020;35615
1000110021;43
1000110022;13615
1000110023;7291
1000110024;80775
1000110025;2784
1000110027;27561
1000110028;4405
1000110029;3481
1000110030;6033
1000110031;4164
1000110032;14814
1000110033;550
1000110034;27
1000110035;18137
1000110036;32746
1000110037;1183
1000110038;10226
1000110039;4844
1000110040;2729
1000110041;3750
1000110042;120186
1000110043;1806
1000110044;7731
1000110046;1579
1000110047;1280
1000110048;47
1000110049;40506
1000110050;1295
1000110052;4542
1000110053;515
1000110054;5871
1000110055;23144
1000110056;1916
1000110057;27587
1000110058;27302
1000110059;5942
1000110060;1580
1000110061;21495
1000110062;12370
1000110063;1304
1000110064;3892
1000110065;43180
1000110066;4077
1000110067;2775
1000110068;4602
1000110069;2719
1000110070;3897
1000110071;1922
1000110072;3756
1000110073;34276
1000110074;8266
1000110075;24960
1000110076;2091
1000110077;5115
1000110078;72574
1000110079;6545
1000110080;6157
1000110081;20716
1000110082;29959
1000110083;3083
1000110084;37341
1000110085;2168
1000110086;5304
1000110087;13520
1000110088;1723
1000110089;6462
1000110090;1709
1000110091;4028
1000110092;3428
1000110093;4818
1000110094;4561
1000110095;2657
1000110096;1716
1000110097;3203
1000110098;2330
1000110099;3183
1000110100;5766
1000110101;13791
1000110102;1444
1000110103;4476
1000110104;12744
1000110105;5221
1000110106;2022
1000110107;3525
1000110108;16660
1000110109;1852
1000110110;26384
1000110111;6323
1000110112;1994
1000110113;262
1000110114;10312
1000110115;9548
1000110116;2548
1000110117;2374
1000110118;14690
1000110119;515
1000110120;115739
1000110121;3727
1000110122;6143
1000110123;9710
1000110125;6203
1000110126;3725
1000110127;3345
1000110128;3076
1000110129;24
1000110130;9129
1000110131;79128
1000110134;3625
1000110135;3304
1000110136;21360
1000110137;515
1000110138;1935
1000110139;40331
1000110140;55506
1000110141;175
1000110142;6975
1000110143;3997
