Police;Compteur;Plomb1;Plomb2;Plomb3;Plomb4
1000110001;602819;0;0;0;0
1000110002;501309;0;0;0;0
1000110003;501297;0;0;0;0
1000110004;501347;0;0;0;0
1000110005;501513;0;0;0;0
1000110006;501013;0;0;0;0
1000110007;501593;0;0;0;0
1000110008;501110;3876;3877;3878;0
1000110009;501014;0;0;0;0
1000110010;501016;0;0;0;0
1000110011;501697;0;0;0;0
1000110012;500799;0;0;0;0
1000110013;2008099558;0;0;0;0
1000110014;20002147;4366;0;0;0
1000110015;889631;0;0;0;0
1000110016;818998;0;0;0;0
1000110017;501332;0;0;0;0
1000110018;501252;0;0;0;0
1000110019;501315;0;0;0;0
1000110020;501269;0;0;0;0
1000110021;;0;0;0;0
1000110022;729782;0;0;0;0
1000110023;501296;0;0;0;0
1000110024;501508;0;0;0;0
1000110025;844774;0;0;0;0
1000110026;843868;0;0;0;0
1000110027;501688;0;0;0;0
1000110028;137826;0;0;0;0
1000110029;501344;0;0;0;0
1000110030;501301;0;0;0;0
1000110031;500988;0;0;0;0
1000110032;501085;0;0;0;0
1000110033;501255;0;0;0;0
1000110034;501501;0;0;0;0
1000110035;501151;0;0;0;0
1000110036;501153;0;0;0;0
1000110037;500866;0;0;0;0
1000110038;602689;0;0;0;0
1000110039;602859;0;0;0;0
1000110040;602635;0;0;0;0
1000110041;602736;0;0;0;0
1000110042;601995;0;0;0;0
1000110043;59899;0;0;0;0
1000110044;165626;0;0;0;0
1000110045;729798;0;0;0;0
1000110046;844426;0;0;0;0
1000110047;844628;0;0;0;0
1000110048;843918;0;0;0;0
1000110049;20003229;4398;0;0;0
1000110050;723058;0;0;0;0
1000110051;844711;0;0;0;0
1000110052;500883;0;0;0;0
1000110053;501375;0;0;0;0
1000110054;602732;0;0;0;0
1000110055;602570;0;0;0;0
1000110056;802054;0;0;0;0
1000110057;129853;0;0;0;0
1000110058;818953;0;0;0;0
1000110059;818801;0;0;0;0
1000110060;844323;0;0;0;0
