Police;TypeCompteur;NoPhase;CodeTarif;Amperage;NCompteur;DernierIndx;DatDernIndex
1000110001;MONO;1;2;10;602819;1618;25/06/2015
1000110002;MONO;1;2;10;501309;7979;25/06/2015
1000110003;MONO;1;2;10;501297;15;26/02/2011
1000110004;MONO;1;2;10;501347;5205;25/06/2015
1000110005;MONO;1;2;10;501513;2431;25/06/2015
1000110006;MONO;1;2;10;501013;4039;25/06/2015
1000110007;MONO;1;3;10;501593;2780;25/06/2015
1000110008;MONO;1;2;10;501110;6103;25/06/2015
1000110009;MONO;1;2;10;501014;1900;25/06/2015
1000110010;MONO;1;2;10;501016;9095;25/06/2015
1000110011;MONO;1;2;15;501697;8246;25/06/2015
1000110012;MONO;1;2;10;500799;4959;25/06/2015
1000110013;MONO;1;2;10;2008099558;400;25/06/2015
1000110014;MONO;1;2;20;20002147;190;25/05/2015
1000110015;MONO;1;2;10;889631;788;25/06/2015
1000110016;MONO;1;2;10;818998;696;25/06/2015
1000110017;MONO;1;2;10;501332;9646;25/06/2015
1000110018;MONO;1;2;10;501252;5700;25/06/2015
1000110019;MONO;1;2;10;501315;868;25/06/2015
1000110020;MONO;1;2;10;501269;6188;25/06/2015
1000110021;MONO;1;2;10;;2156;25/06/2015
1000110022;MONO;1;2;10;729782;679;25/12/2014
1000110023;MONO;1;2;10;501296;6428;25/06/2015
1000110024;MONO;1;2;10;501508;4629;25/06/2015
1000110025;MONO;1;2;10;844774;204;25/06/2015
1000110026;MONO;1;2;15;843868;2972;25/06/2015
1000110027;MONO;1;2;10;501688;841;25/06/2015
1000110028;MONO;1;2;10;137826;291;25/06/2015
1000110029;MONO;1;2;10;501344;2865;25/06/2015
1000110030;MONO;1;2;10;501301;901;25/06/2015
1000110031;MONO;1;2;10;500988;3085;25/06/2015
1000110032;MONO;1;2;10;501085;2830;25/06/2015
1000110033;MONO;1;3;10;501255;2216;25/06/2015
1000110034;MONO;1;2;10;501501;599;25/06/2013
1000110035;MONO;1;2;10;501151;5056;25/06/2015
1000110036;MONO;1;2;10;501153;4784;25/06/2015
1000110037;MONO;1;2;10;500866;1893;25/06/2015
1000110038;MONO;1;2;15;602689;6679;25/06/2015
1000110039;MONO;1;2;10;602859;2535;25/06/2015
1000110040;MONO;1;2;10;602635;1354;25/06/2015
1000110041;MONO;1;2;10;602736;2524;25/06/2015
1000110042;MONO;1;2;15;601995;3100;25/06/2015
1000110043;MONO;1;2;15;59899;10107;25/06/2015
1000110044;MONO;1;2;10;165626;4027;25/06/2015
1000110045;MONO;1;2;10;729798;1114;25/06/2015
1000110046;MONO;1;2;10;844426;1420;25/06/2015
1000110047;MONO;1;2;10;844628;1184;25/06/2015
1000110048;MONO;1;2;15;843918;1411;25/06/2015
1000110049;MONO;1;2;15;20003229;13;25/06/2015
1000110050;MONO;1;2;15;723058;535;25/06/2015
